kind,game,sims_per_move,algorithm,n,num_matches,mean_exploitability,median_exploitability,std_exploitability,p10_exploitability,p90_exploitability,mean_diff,median_diff,std_diff,p10_diff,p90_diff,mean_ci95_low,mean_ci95_high,mean_coverage,mean_coverage_frac,mean_elapsed_s,lotr_better_count,oos_better_count,tie_count,max_E_dR2,max_prefix_D,mean_E_W2,mean_E_dR2,mean_abs_regret,mean_chance_diverged_frac,mean_ess_per_sim,mean_log_l,mean_log_l_p5,mean_on_path_frac,mean_on_path_given_chance,mean_prefix_D,mean_prefix_survival,mean_targeted_frac,mean_visit_count_median,mean_visit_count_min,min_ess_per_sim,p95_E_W2,p95_E_dR2,tracking_iters_total,tracking_steps
algorithm,goofspiel,5000,lotr_step_r05,3,100,0.03809083634511078,0.03804347932860754,0.0018761569335632431,0.036599740853060565,0.03960087464376231,,,,,,0.03623880623417382,0.039990223472551,162.0,1.0,83.48333333333333,,,,509324.1805396841,5.0,2859377975.7662816,3791.6183668991102,31.614984442109236,0.0,0.0032746059908553646,-2.766261446406921,-5.9031440573025264,0.582982,0.582982,2.5,0.582982,,17.344444444444445,1.0,0.00020911709573275474,3180588476.8217807,11609.667305825953,1500000.0,300.0
algorithm,goofspiel,5000,oos_d05,3,100,0.038267976494159896,0.03875164156500173,0.0010196498356658628,0.03742752875541105,0.038914958204572005,,,,,,0.037096500553013376,0.038955787364464575,162.0,1.0,67.74233333333333,,,,509324.1805396842,,4184458640.3431716,3760.80116549504,31.591841009110343,,0.0032513257996318727,-2.769636018946349,-5.895432496617771,,,,0.6271684444444445,0.4994895555555556,17.27888888888889,1.0,0.00021191597773030375,5324744709.568306,11396.883109412514,1500000.0,300.0
algorithm,goofspiel,10000,lotr_step_r05,3,100,0.027629305043731,0.027429893675360112,0.0009581131039078437,0.026915250641229998,0.02842312399358037,,,,,,0.02678658988269747,0.028671431573135436,162.0,1.0,168.67,,,,509324.1805396842,5.0,7398071342.495491,3910.789110330767,31.601554779344983,0.0,0.002220109917634246,-2.724585947058961,-5.8266086212168275,0.5833918888888889,0.5833918888888889,2.5,0.5833918888888889,,27.23777777777778,1.0,0.00010658241930282827,15643809160.647257,11824.047214046172,3000000.0,300.0
algorithm,goofspiel,10000,oos_d05,3,100,0.027893146263575353,0.027395073481878335,0.0011300124840184116,0.027157202719620344,0.028828318920209182,,,,,,0.027097735029055842,0.029186630279791893,162.0,1.0,136.92766666666668,,,,509324.1805396842,,15049013793.743042,3966.7283355296554,31.75459856203932,,0.0021789955596329155,-2.73262362203862,-5.830952625256853,,,,0.6270864444444445,0.4998857777777778,27.222222222222225,1.0,0.00010636730634768307,9330171152.694693,11976.914705778145,3000000.0,300.0
algorithm,goofspiel,20000,lotr_step_r05,3,100,0.022112438545580898,0.02186401540594671,0.0006120037920869816,0.021703769179795756,0.022620477167219717,,,,,,0.02166370762325802,0.022809592607537968,162.0,1.0,336.49566666666664,,,,509324.1805396842,5.0,4626856541.661533,4058.018510978143,31.71231459516959,0.0,0.0015188606659104192,-2.7083781629327297,-5.793010807180548,0.5832078333333333,0.5832078333333333,2.5,0.5832078333333333,,43.55444444444444,1.0,5.630447094447859e-05,16430352669.000223,12107.486477615459,6000000.0,300.0
algorithm,goofspiel,20000,oos_d05,3,100,0.02164748053392535,0.02128411160449429,0.001222948812701009,0.02077473976461837,0.02266556887500475,,,,,,0.02064739680464939,0.023010933192632366,162.0,1.0,275.295,,,,509324.1805396842,,28893356730.949722,4069.908646401765,31.71282458661568,,0.0014653282474033228,-2.7012931179065496,-5.79788004876579,,,,0.6275546666666667,0.4997111666666667,43.623333333333335,1.0,5.370737102231923e-05,11787217266.62089,12105.055089880037,6000000.0,300.0
algorithm,goofspiel,50000,lotr_step_r05,3,100,0.017064646057376374,0.01713806019330683,0.00015169644892724837,0.01693977913376594,0.017160147326614625,,,,,,0.01689020886888072,0.017165669109941575,162.0,1.0,826.6063333333333,,,,509324.1805396842,5.0,57863279395.533966,4166.549905190887,31.7227468165248,0.0,0.0007898255633036441,-2.676814794070396,-5.7425545780246905,0.5832702222222222,0.5832702222222222,2.5,0.5832702222222222,,83.53555555555555,1.001111111111111,2.4968433684118872e-05,35068950219.71291,12189.14220127999,15000000.0,300.0
algorithm,goofspiel,50000,oos_d05,3,100,0.01689556768202353,0.016947712819136956,0.00028323806168754835,0.016661446776382493,0.017108830532819204,,,,,,0.016589880265693878,0.017149109961239764,162.0,1.0,685.8403333333332,,,,509324.1805396842,,23873930791.146698,4192.271548081554,31.802390850361945,,0.0007956610110348449,-2.676459904163844,-5.753362586488599,,,,0.6266149111111111,0.49992631111111113,82.31555555555555,1.0,2.2849850044715018e-05,31856771331.45877,12268.201645447038,15000000.0,300.0
algorithm,leduc_poker,5000,lotr_step_r05,3,100,1.2884763843932252,1.282238192299999,0.016484251080401937,1.2772649569531414,1.3021830886705998,,,,,,1.2760216481164268,1.30716931276325,936.0,1.0,60.621333333333325,,,,359012356.87079555,8.0,1005273147500.2128,14632.319308097782,54.72767776275874,0.4997070619796664,0.006478691990416528,-5.76992655375264,-9.137357607318245,0.5002149110697865,0.9998440087426793,3.249879892556127,0.5002149110697865,,3.8227127507414544,1.0,0.00024143495059953182,83654805465.68431,24709.183854667983,1058333.3333333333,211.66666666666666
algorithm,leduc_poker,5000,oos_d05,3,100,1.3052001511946985,1.2910175351257278,0.026484707623570882,1.28926512505978,1.326808223757205,,,,,,1.288827022543293,1.3357558959150742,936.0,1.0,48.579,,,,201239351.86688814,,240833424437.6462,13990.677302680248,54.801480747469064,,0.006425317147661132,-5.765909834456473,-9.124477045303815,,,,0.5433328304072415,0.4999595019584177,3.8244511232219067,1.0,0.00031166014833247587,47602489147.241554,25016.38586861748,1106666.6666666667,221.33333333333334
